AM8110a,IKK gamma
AM8411b,PTP1B
AM8414a,PRL3
AP10000B,CO039
AP10002b,RTL1
AP10007B,MET10
AP10010C,POTEE
AP10011b,TMEM132D
AP10014b,DPY19L2
AP10017b,LCA5L
AP10018a,LRRC4B
AP1001a,PRMT1
AP1001b,PRMT1 (C-term K342)
AP10021c,C6orf58
AP10022b,KIAA1680
AP10027B,LCE2B
AP10028a,CRCT1
AP1002a,PRMT2
AP10032b,POTEB
AP10036a,CTDSPL
AP10037c,CLEC12A
AP10039b,S35B2
AP1003a,PRMT2
AP10040B,MCEE
AP10041b,SCAR5
AP10044A,ZCCHC5
AP1004a,PRMT3
AP10055c,CHCHD2
AP10056c,LOC552889
AP1005a,PRMT3
AP10061b,C11orf46
AP10062c,SLC43A2
AP10065c,LGALS9B
AP10068a,TMEM214
AP10077a,LAPTM5
AP10078a,NIPA4
AP10079b,TYSND1
AP1007b,PRMT5 (C-term C487)
AP10083b,C12orf48
AP10088b,RFT1
AP1008a,PRMT5
AP10092b,KEAP1
AP10093a,BCA3
AP10097a,MUC1-T1224
AP10098c,AEBP1
AP10099b,ALOX12B
AP1009a,PRMT6
AP10102a,ADAMTS10
AP10103b,ANGPT2
AP10105a,ANGPTL1
AP10106b,AHSG
AP10107c,APOF
AP1010a,PRMT7
AP1010c,PRMT7
AP10110b,AMACR
AP10112a,BSCL2
AP10113c,APOL6
AP10114b,STIM1
AP10116a,A4GALT
AP10121a,BTG2
AP10126A,MINPP1
AP10127b,IGF2BP2
AP10128b,ADH4
AP10130b,ACOT11
AP10131C,FGF2
AP10133b,BACH2
AP10134c,CCL21
AP10135C,CCNY
AP10136a,TNFRSF6B
AP10139c,MUTED
AP10140a,FAM155A
AP10141c,PCDHGC3
AP10142c,CENPC1
AP10143c,ABCC10
AP10144C,ABCC3
AP10145b,TFB2M
AP10147c,BCAT1
AP10148c,TIMP4
AP10150c,GPAM
AP10151b,PP1R14C
AP10152b,SLC3A2
AP10156a,RPS6KA1
AP10158a,AKR1C3
AP10160c,HSPA9
AP10161C,AADAT
AP10162C,ARL8A
AP10164a,NUAK2
AP10166a,FOXL2
AP10167A,RAD26
AP10170c,CXCR3
AP10171b,ELL
AP10174b,CITED2
AP10175a,TRAPPC3
AP10176b,UBA52
AP10180b,CLDN7
AP10181c,PEX1
AP10182c,DNA2
AP10185c,ATP5H
AP10186a,CHPT1
AP10187b,FUS
AP10189c,GABRG2
AP1018a,EHMT1
AP1018b,EHMT1
AP1018c,EHMT1
AP10190a,GALNT4
AP10192c,MME
AP10193c,FGF7
AP10196c,DIS3
AP10197b,GCC2
AP10199a,OCA2
AP10202c,EXOC8
AP10203a,MED25
AP10204c,MAF1
AP10208c,SPARCL1
AP10212b,FBXO2
AP10213A,FGF9
AP10214b,GABBR2
AP10216C,GGTLC2
AP1021b,Dnmt2
AP10220b,GTPBP2
AP10222B,IKZF1
AP10226b,K0090
AP10228a,MLXIP
AP10229a,KATL1
AP1022a,JMJD3
AP1022b,M JMJD3
AP1022c,M JMJD3
AP10232c,CLDN22
AP10234B,GAS2L1
AP10235b,CAMK2N1
AP10237b,RADIL
AP10238b,CASZ1
AP1023b,Dnmt3A/Dnmt3A2
AP10241A,KRI1
AP10243b,CALML4
AP10250b,SLC10A4
AP10254b,MOCS1
AP10255c,L2HGDH
AP10258C,DYNLRB2
AP1025a,PEMT
AP1025B,PEMT
AP10260C,DAGLA
AP10262a,SPRED3
AP10265a,LUZP4
AP10268b,FBXW12
AP10269c,NOS1AP
AP10270C,C12orf30
AP10271b,TFAM
AP10272a,LNPEP
AP10273a,SLC25A12
AP10275a,RPS6 (Ser240/244)
AP10276C,HOXA10
AP10279b,KLF14
AP1027a,JMJD1B
AP10280A,TECTB
AP10287c,NAT14
AP10288b,PDE12
AP10292b,DENND5B
AP10295a,BRMS1L
AP10297b,RILPL1
AP1029a,HIF1AN
AP1029b,HIF1AN
AP10300a,NT5C1B
AP10301B,CCDC123
AP10305b,VWA3B
AP1030B,JMJD4
AP10315a,ZDHHC1
AP10317b,LRRC33
AP10318b,PCDP1
AP1032A,Dnmt1 (C-term S1602)
AP1032b,DNMT1 (S1105)
AP10334B,PEAR1
AP10335a,ENTHD1
AP1033b,MINA
AP10344C,LYPD4
AP10349C,ATPBD3
AP1034a,Dnmt3a
AP1034c,Dnmt3a (Center D472)
AP1034d,Dnmt3a (N-term R46)
AP10351b,KCNT2
AP10354c,SYT8
AP10357c,SPDYE3
AP10358c,RNF183
AP10359B,UGT3A2
AP1035a,Dnmt3b
AP10360a,TMEM65
AP10363c,DTWD2
AP10364a,LMOD2
AP10369b,WFDC12
AP1036b,MBD1
AP10372a,CEPT1
AP10373b,EFTUD1
AP10377b,METTL4
AP10380a,C1orf51
AP10381A,DENND1B
AP10383a,MRM1
AP10385b,NEU4
AP10386C,ALX4
AP10388a,SERPINI1
AP1038c,MBD3
AP10390a,AP1S3
AP10392b,TINAGL1
AP10393a,ITGA11
AP10394c,FAM46A
AP10397c,SAR1B
AP10399a,KPRA
AP10400b,LCOR
AP10402a,COBL
